id,room_type,price,latitude,longitude
6369,Private room,60,40.45724,-3.67688
21853,Private room,31,40.40381,-3.7413
23001,Entire home/apt,50,40.3884,-3.69511
24805,Entire home/apt,92,40.42183,-3.70529
26825,Private room,26,40.38975,-3.69018
28200,Entire home/apt,85,40.3886,-3.69492
30320,Entire home/apt,65,40.41476,-3.70418
30959,Entire home/apt,54,40.41259,-3.70105
37859,Entire home/apt,1400,40.41844,-3.71073
40718,Entire home/apt,79,40.41969,-3.69736
40916,Entire home/apt,90,40.42247,-3.70577
47957,Entire home/apt,82,40.42792,-3.67682
59923,Private room,40,40.42103,-3.71038
62423,Private room,24,40.41884,-3.69655
64131,Private room,21,40.48543,-3.72318
70059,Entire home/apt,51,40.42381,-3.71038
70316,Entire home/apt,75,40.42191,-3.71038
72150,Entire home/apt,139,40.4115,-3.70449
74352,Entire home/apt,80,40.40864,-3.70884
75609,Entire home/apt,63,40.40892,-3.69697
82481,Entire home/apt,63,40.42342,-3.68123
84719,Entire home/apt,46,40.40866,-3.70374
86042,Entire home/apt,125,40.40939,-3.69812
89954,Entire home/apt,114,40.41358,-3.71353
92920,Private room,70,40.42491,-3.69552
93100,Private room,45,40.42378,-3.70248
96807,Private room,31,40.38159,-3.65534
100411,Entire home/apt,60,40.50044,-3.67032
101507,Entire home/apt,50,40.40786,-3.70223
102040,Private room,19,40.43422,-3.64196
102194,Entire home/apt,96,40.42318,-3.69748
103541,Entire home/apt,70,40.43815,-3.69764
114854,Entire home/apt,70,40.4382,-3.69389
119389,Entire home/apt,105,40.40919,-3.70908
120293,Private room,20,40.41143,-3.70912
120762,Private room,32,40.42231,-3.70482
123864,Entire home/apt,44,40.41001,-3.70704
127819,Entire home/apt,148,40.4141,-3.70289
132428,Private room,30,40.41012,-3.69709
136058,Private room,21,40.35761,-3.69723
154224,Entire home/apt,69,40.41392,-3.70049
163429,Entire home/apt,65,40.43765,-3.70408
167183,Private room,45,40.45575,-3.64912
170750,Entire home/apt,91,40.42386,-3.70489
171144,Entire home/apt,120,40.41678,-3.71156
177523,Entire home/apt,72,40.42876,-3.70379
177846,Private room,20,40.42399,-3.70389
177850,Private room,18,40.42609,-3.70551
196197,Entire home/apt,55,40.41235,-3.70967
199016,Private room,28,40.4257,-3.70383
199201,Private room,75,40.41319,-3.7024
200828,Entire home/apt,214,40.43201,-3.68358
201033,Private room,40,40.4221,-3.70685
204570,Entire home/apt,80,40.4152,-3.69668
205199,Entire home/apt,85,40.42116,-3.70384
207275,Private room,50,40.42829,-3.72119
209373,Private room,30,40.41126,-3.70347
209780,Entire home/apt,94,40.37935,-3.73162
211444,Private room,55,40.45959,-3.64699
217674,Entire home/apt,101,40.41538,-3.70741
219303,Private room,19,40.42377,-3.70241
225462,Private room,30,40.41366,-3.69788
225489,Private room,25,40.43595,-3.70706
229664,Entire home/apt,43,40.4078,-3.70085
231861,Private room,61,40.43699,-3.70037
240128,Private room,25,40.3924,-3.72344
256004,Entire home/apt,80,40.41428,-3.70767
260656,Entire home/apt,88,40.40743,-3.70114
260951,Entire home/apt,95,40.47189,-3.62966
261878,Entire home/apt,67,40.42269,-3.70378
263748,Entire home/apt,64,40.47142,-3.62881
268275,Entire home/apt,79,40.41194,-3.70339
280733,Entire home/apt,110,40.42457,-3.70802
281224,Entire home/apt,68,40.41685,-3.70882
282195,Entire home/apt,71,40.41391,-3.7005
282196,Entire home/apt,59,40.41392,-3.70049
282715,Entire home/apt,175,40.42432,-3.68329
283862,Entire home/apt,106,40.41681,-3.70747
287660,Private room,30,40.42683,-3.71108
289555,Private room,26,40.41758,-3.69631
294520,Private room,50,40.42226,-3.69959
294529,Private room,37,40.42226,-3.69959
297017,Entire home/apt,89,40.41414,-3.69419
310333,Entire home/apt,61,40.40908,-3.69514
310678,Entire home/apt,68,40.42163,-3.70785
315682,Entire home/apt,172,40.42365,-3.70379
316711,Private room,200,40.41822,-3.70845
333974,Entire home/apt,59,40.41392,-3.70049
336672,Entire home/apt,106,40.39516,-3.69309
336834,Entire home/apt,65,40.42242,-3.69562
336869,Private room,87,40.41593,-3.70602
337292,Private room,35,40.44663,-3.67625
339144,Entire home/apt,64,40.42838,-3.70345
339171,Entire home/apt,82,40.41285,-3.69553
339813,Entire home/apt,80,40.41204,-3.6975
341939,Entire home/apt,55,40.41037,-3.70018
342095,Entire home/apt,79,40.41015,-3.69797
342557,Private room,70,40.45005,-3.67569
342952,Entire home/apt,59,40.41392,-3.70049
345195,Entire home/apt,89,40.42365,-3.70536
345230,Private room,77,40.42531,-3.70597
345233,Private room,77,40.42504,-3.704
345249,Entire home/apt,166,40.47148,-3.68946
347510,Entire home/apt,223,40.42881,-3.66605
354838,Entire home/apt,70,40.4249,-3.7097
361053,Entire home/apt,100,40.40988,-3.67503
363476,Private room,44,40.41676,-3.70682
371532,Entire home/apt,80,40.41944,-3.70945
375472,Private room,19,40.40334,-3.70254
376379,Entire home/apt,42,40.41115,-3.69673
377151,Private room,30,40.42163,-3.66249
391795,Private room,35,40.37733,-3.67441
396532,Entire home/apt,88,40.41959,-3.70373
406341,Private room,25,40.42978,-3.67817
406697,Entire home/apt,56,40.41401,-3.70004
410699,Entire home/apt,140,40.41737,-3.70015
415967,Entire home/apt,58,40.40827,-3.70049
416705,Private room,30,40.379,-3.67423
420039,Entire home/apt,57,40.42738,-3.70635
423655,Entire home/apt,100,40.42719,-3.70142
424816,Private room,30,40.45399,-3.69957
427407,Entire home/apt,65,40.41155,-3.70146
429306,Entire home/apt,103,40.43028,-3.70732
429604,Entire home/apt,65,40.4135,-3.70145
431806,Private room,30,40.42827,-3.72226
435010,Private room,25,40.41275,-3.70862
439715,Entire home/apt,100,40.42224,-3.69776
440596,Entire home/apt,30,40.43015,-3.69864
442986,Entire home/apt,96,40.42389,-3.6977
444113,Private room,25,40.40182,-3.75334
449218,Entire home/apt,49,40.42849,-3.70183
456165,Private room,30,40.39032,-3.71382
460898,Private room,15,40.48503,-3.69858
462072,Entire home/apt,121,40.40869,-3.71073
464307,Entire home/apt,85,40.42186,-3.70341
467552,Entire home/apt,72,40.42859,-3.69521
468202,Entire home/apt,25,40.42123,-3.70133
470132,Entire home/apt,77,40.41018,-3.70164
473112,Entire home/apt,74,40.42349,-3.70024
479718,Private room,76,40.43202,-3.60353
490610,Private room,38,40.40996,-3.72491
491070,Entire home/apt,70,40.42885,-3.70479
492221,Entire home/apt,69,40.41322,-3.70949
493238,Entire home/apt,54,40.40655,-3.70629
497706,Entire home/apt,60,40.40808,-3.68338
499911,Entire home/apt,97,40.41234,-3.70186
502918,Private room,48,40.41155,-3.69492
506956,Entire home/apt,68,40.44117,-3.64841
507614,Entire home/apt,84,40.42323,-3.70434
510973,Private room,46,40.41412,-3.70057
514917,Private room,31,40.40445,-3.7398
515008,Private room,17,40.42297,-3.61193
515339,Entire home/apt,65,40.4127,-3.7126
518208,Private room,21,40.42756,-3.61577
518511,Private room,40,40.41012,-3.70484
521329,Private room,20,40.45591,-3.68773
521367,Entire home/apt,75,40.4154,-3.70255
522563,Entire home/apt,76,40.41152,-3.70991
524003,Private room,65,40.41327,-3.70223
526162,Private room,19,40.4057,-3.67605
526513,Entire home/apt,42,40.41604,-3.70834
529690,Entire home/apt,100,40.41004,-3.71233
531677,Private room,34,40.42286,-3.70236
536574,Entire home/apt,70,40.39317,-3.69358
537234,Private room,25,40.40108,-3.69113
540937,Entire home/apt,55,40.40954,-3.70096
541406,Entire home/apt,300,40.46905,-3.66637
544736,Private room,21,40.45841,-3.67598
545174,Entire home/apt,40,40.43474,-3.71233
547050,Private room,43,40.42159,-3.67713
548353,Entire home/apt,99,40.44599,-3.70334
548995,Entire home/apt,90,40.419,-3.67774
549664,Private room,50,40.37057,-3.61511
552183,Private room,35,40.41309,-3.69775
560941,Entire home/apt,134,40.42297,-3.69095
565152,Entire home/apt,37,40.40683,-3.69932
566241,Entire home/apt,50,40.40913,-3.699
568190,Private room,20,40.41016,-3.72863
570158,Private room,20,40.447,-3.70291
572048,Private room,30,40.42993,-3.70339
576487,Entire home/apt,78,40.4739,-3.57583
578731,Entire home/apt,9999,40.42551,-3.70812
586726,Entire home/apt,86,40.42671,-3.72858
588382,Entire home/apt,190,40.41151,-3.70257
588518,Entire home/apt,165,40.4158,-3.70962
590710,Private room,50,40.36701,-3.68667
598771,Entire home/apt,85,40.40661,-3.6952
599134,Private room,33,40.41596,-3.70846
599885,Private room,25,40.42397,-3.69721
599977,Entire home/apt,37,40.42675,-3.70683
604150,Entire home/apt,110,40.4312,-3.68502
604632,Private room,23,40.457,-3.70436
605339,Private room,14,40.40743,-3.74293
606923,Private room,28,40.45021,-3.78733
607548,Private room,45,40.39366,-3.66535
608742,Entire home/apt,49,40.41744,-3.70873
610675,Entire home/apt,70,40.41769,-3.69974
616027,Private room,23,40.43922,-3.67574
618576,Entire home/apt,76,40.41771,-3.70925
625566,Entire home/apt,60,40.40349,-3.70418
628394,Entire home/apt,279,40.4173,-3.70208
631737,Entire home/apt,75,40.47143,-3.6748
642863,Private room,46,40.42245,-3.70504
643471,Private room,10,40.41256,-3.70373
644656,Private room,25,40.42432,-3.6399
647376,Entire home/apt,58,40.41163,-3.70822
647891,Private room,40,40.43188,-3.71386
655514,Private room,30,40.42432,-3.6399
656520,Entire home/apt,65,40.40969,-3.70457
659887,Private room,29,40.40264,-3.68309
663761,Private room,23,40.37093,-3.62298
668753,Private room,46,40.43287,-3.7007
676566,Entire home/apt,75,40.40222,-3.68096
678413,Entire home/apt,70,40.40419,-3.70383
680784,Private room,48,40.42136,-3.70541
682889,Entire home/apt,90,40.4064,-3.70898
683208,Entire home/apt,280,40.43189,-3.67793
683969,Entire home/apt,20,40.37609,-3.74279
684564,Entire home/apt,108,40.41747,-3.70979
685152,Entire home/apt,182,40.4696,-3.65012
689099,Private room,40,40.47444,-3.67135
691344,Private room,20,40.39992,-3.69537
691458,Private room,37,40.40066,-3.69719
692358,Entire home/apt,88,40.36089,-3.69594
692855,Entire home/apt,75,40.41261,-3.7088
694867,Entire home/apt,70,40.35701,-3.69643
695909,Entire home/apt,141,40.4256,-3.70436
696928,Shared room,50,40.43003,-3.67429
697858,Private room,35,40.45519,-3.706
704155,Entire home/apt,9142,40.41389,-3.70461
708275,Entire home/apt,50,40.44374,-3.68161
709208,Entire home/apt,69,40.41697,-3.70732
710156,Private room,31,40.4523,-3.59142
716292,Entire home/apt,81,40.42616,-3.70263
717313,Entire home/apt,85,40.41222,-3.71365
721377,Entire home/apt,50,40.50069,-3.68994
723088,Entire home/apt,75,40.42536,-3.69887
724700,Entire home/apt,89,40.4107,-3.70253
724901,Entire home/apt,150,40.43998,-3.71405
727588,Entire home/apt,44,40.39368,-3.66975
730347,Entire home/apt,140,40.41534,-3.70757
730502,Entire home/apt,79,40.41826,-3.71244
730746,Entire home/apt,130,40.42881,-3.70401
733365,Private room,27,40.43653,-3.70421
734053,Private room,50,40.41731,-3.6731
738837,Entire home/apt,40,40.40812,-3.70531
743650,Private room,26,40.41102,-3.70083
745459,Private room,35,40.40449,-3.70463
745664,Private room,35,40.40449,-3.70463
747873,Entire home/apt,69,40.42329,-3.70833
748854,Private room,18,40.40333,-3.7025
749957,Entire home/apt,40,40.42796,-3.72054
750257,Entire home/apt,75,40.42057,-3.70486
751527,Entire home/apt,205,40.42482,-3.71084
751530,Entire home/apt,59,40.41429,-3.70649
752424,Entire home/apt,110,40.40687,-3.70917
752515,Entire home/apt,51,40.41233,-3.70641
752883,Private room,45,40.40788,-3.73147
754678,Entire home/apt,135,40.41382,-3.69514
755535,Private room,21,40.42761,-3.6158
755587,Entire home/apt,59,40.41497,-3.70853
756707,Entire home/apt,71,40.41805,-3.70848
759575,Entire home/apt,91,40.42333,-3.69989
760482,Entire home/apt,163,40.45989,-3.69472
761095,Entire home/apt,85,40.44791,-3.57918
761098,Entire home/apt,57,40.44655,-3.58128
761159,Entire home/apt,59,40.41399,-3.70776
761195,Entire home/apt,57,40.4483,-3.57965
762701,Entire home/apt,105,40.41522,-3.70414
763214,Entire home/apt,63,40.40789,-3.71404
766160,Entire home/apt,55,40.41189,-3.70107
768311,Entire home/apt,59,40.41166,-3.71007
769210,Private room,34,40.46154,-3.63003
770883,Entire home/apt,76,40.40645,-3.70109
772646,Entire home/apt,9856,40.41403,-3.70453
773608,Private room,31,40.42874,-3.6996
773990,Entire home/apt,47,40.40997,-3.70155
774008,Private room,35,40.47974,-3.66852
774356,Private room,44,40.42507,-3.70663
779960,Entire home/apt,73,40.40869,-3.6975
780397,Entire home/apt,149,40.40115,-3.69657
781012,Private room,35,40.40876,-3.70878
783647,Private room,22,40.47731,-3.66659
785834,Private room,21,40.42853,-3.72286
793618,Entire home/apt,203,40.41027,-3.7122
793622,Entire home/apt,65,40.42162,-3.71158
795877,Entire home/apt,58,40.41411,-3.70862
797030,Entire home/apt,46,40.43602,-3.63506
798091,Entire home/apt,90,40.41495,-3.70941
804681,Private room,28,40.47281,-3.58827
814586,Entire home/apt,82,40.42242,-3.69674
814647,Private room,30,40.4403,-3.63464
814731,Shared room,17,40.41089,-3.70689
814870,Private room,20,40.4077,-3.68473
817184,Entire home/apt,60,40.4112,-3.69567
821860,Private room,59,40.41013,-3.70453
828095,Private room,32,40.44214,-3.63756
831616,Entire home/apt,65,40.40857,-3.69801
832102,Entire home/apt,45,40.43715,-3.69866
833871,Entire home/apt,56,40.42556,-3.70175
834562,Entire home/apt,93,40.46913,-3.58258
834675,Private room,26,40.39826,-3.66722
837183,Entire home/apt,125,40.42841,-3.71386
838698,Private room,25,40.40646,-3.68289
838712,Private room,21,40.40625,-3.68479
840561,Entire home/apt,114,40.44919,-3.71006
842078,Entire home/apt,66,40.41726,-3.70269
844856,Entire home/apt,10,40.41601,-3.70951
846558,Private room,50,40.41858,-3.70077
847273,Entire home/apt,140,40.40721,-3.64994
847724,Private room,60,40.41826,-3.71188
849939,Private room,24,40.40903,-3.70786
851311,Entire home/apt,65,40.42294,-3.70468
853804,Entire home/apt,95,40.42741,-3.70807
855155,Private room,30,40.39742,-3.76862
856669,Entire home/apt,70,40.41454,-3.6991
858563,Shared room,76,40.47203,-3.6662
859800,Private room,48,40.44416,-3.57199
862462,Entire home/apt,51,40.40964,-3.71139
862752,Private room,33,40.40076,-3.69641
864488,Entire home/apt,47,40.40956,-3.7009
867629,Private room,211,40.42106,-3.71121
868776,Entire home/apt,53,40.40818,-3.70191
869674,Entire home/apt,101,40.40873,-3.69961
871387,Entire home/apt,100,40.42298,-3.70895
874029,Private room,30,40.4449,-3.63508
883527,Entire home/apt,42,40.42551,-3.67958
884856,Private room,46,40.42151,-3.7098
886019,Entire home/apt,105,40.43741,-3.71162
888289,Entire home/apt,113,40.42656,-3.7036
891946,Entire home/apt,80,40.42849,-3.70194
892100,Entire home/apt,63,40.39505,-3.70763
892453,Private room,14,40.40726,-3.74174
893056,Private room,29,40.41482,-3.70266
893142,Private room,29,40.41482,-3.70266
893195,Entire home/apt,50,40.42187,-3.68775
896209,Entire home/apt,50,40.47058,-3.68539
896588,Entire home/apt,80,40.43065,-3.67261
901897,Entire home/apt,132,40.41825,-3.71239
902946,Entire home/apt,51,40.41174,-3.70271
903707,Entire home/apt,64,40.40766,-3.69952
904741,Entire home/apt,96,40.41845,-3.70544
904769,Entire home/apt,60,40.41866,-3.70547
904775,Entire home/apt,98,40.42062,-3.70766
912617,Private room,110,40.4334,-3.65682
913536,Private room,35,40.42157,-3.70539
914057,Private room,21,40.38901,-3.64185
919430,Private room,19,40.42613,-3.70534
922397,Entire home/apt,60,40.42473,-3.67977
923140,Entire home/apt,130,40.42194,-3.70194
923645,Entire home/apt,94,40.41873,-3.67761
925250,Private room,48,40.41538,-3.70351
925339,Entire home/apt,50,40.42259,-3.70152
926653,Entire home/apt,64,40.41245,-3.69688
930032,Entire home/apt,65,40.40788,-3.69564
933326,Entire home/apt,100,40.40546,-3.69213
936157,Entire home/apt,129,40.4183,-3.71239
938410,Entire home/apt,262,40.42722,-3.68388
938506,Entire home/apt,45,40.41391,-3.70264
940649,Entire home/apt,70,40.40224,-3.70001
944555,Entire home/apt,76,40.415,-3.70582
945003,Private room,40,40.42609,-3.7043
947169,Entire home/apt,68,40.41324,-3.70651
948963,Private room,21,40.40777,-3.74013
958020,Entire home/apt,81,40.42744,-3.70658
970485,Entire home/apt,350,40.41835,-3.68955
970890,Shared room,39,40.42505,-3.71101
977261,Private room,22,40.40773,-3.69476
979312,Private room,35,40.43358,-3.70524
981016,Entire home/apt,102,40.42661,-3.70222
981368,Entire home/apt,32,40.42986,-3.7023
981369,Entire home/apt,92,40.43165,-3.70152
983019,Private room,32,40.40215,-3.66263
983410,Entire home/apt,40,40.45126,-3.69369
985160,Entire home/apt,66,40.41369,-3.70252
989063,Entire home/apt,198,40.44796,-3.66138
1003602,Entire home/apt,70,40.41156,-3.70546
1007532,Entire home/apt,48,40.42337,-3.70113
1018471,Private room,30,40.4869,-3.65722
1020785,Private room,30,40.43316,-3.71393
1026242,Private room,33,40.43736,-3.71721
1037715,Entire home/apt,80,40.41095,-3.71199
1038867,Entire home/apt,45,40.41523,-3.70831
1039376,Entire home/apt,47,40.47479,-3.57467
1039454,Entire home/apt,104,40.41667,-3.6756
1044902,Private room,112,40.46549,-3.75115
1050948,Private room,46,40.4287,-3.6862
1052457,Entire home/apt,50,40.40786,-3.70223
1053180,Entire home/apt,70,40.41045,-3.7057
1053662,Private room,30,40.44338,-3.69662
1055724,Private room,30,40.43542,-3.70755
1056151,Entire home/apt,70,40.40946,-3.69809
1057560,Entire home/apt,101,40.42001,-3.70824
1059084,Entire home/apt,79,40.41483,-3.70927
1065075,Private room,22,40.43812,-3.7108
1065714,Entire home/apt,35,40.42555,-3.70427
1065918,Entire home/apt,44,40.42266,-3.70525
1067941,Entire home/apt,100,40.46544,-3.69534
1069174,Entire home/apt,75,40.41328,-3.69498
1075749,Entire home/apt,101,40.41707,-3.70536
1075890,Entire home/apt,135,40.42208,-3.70471
1079119,Entire home/apt,102,40.43747,-3.69949
1079722,Private room,46,40.4287,-3.6862
1082218,Entire home/apt,76,40.4259,-3.7025
1082942,Entire home/apt,54,40.40912,-3.70074
1085217,Private room,29,40.42463,-3.69692
1085898,Entire home/apt,127,40.41301,-3.70848
1086124,Entire home/apt,85,40.41368,-3.70544
1087049,Entire home/apt,230,40.41353,-3.70715
1090988,Private room,39,40.4287,-3.6862
1091639,Private room,30,40.39651,-3.69944
1092967,Entire home/apt,50,40.40795,-3.70673
1101760,Entire home/apt,9999,40.4134,-3.6973
1105481,Private room,50,40.42951,-3.7019
1106495,Entire home/apt,47,40.42117,-3.71103
1112289,Private room,25,40.40259,-3.6642
1113817,Entire home/apt,139,40.42204,-3.69989
1114960,Entire home/apt,58,40.42361,-3.69809
1120286,Private room,21,40.42422,-3.70078
1126038,Private room,17,40.42414,-3.67547
1128626,Entire home/apt,44,40.40965,-3.70341
1130775,Entire home/apt,20,40.43401,-3.70052
1130788,Entire home/apt,24,40.43454,-3.70036
1133140,Entire home/apt,510,40.41163,-3.69811
1146228,Entire home/apt,53,40.4085,-3.69743
1152744,Private room,54,40.41353,-3.71157
1153128,Private room,44,40.43752,-3.70019
1159972,Entire home/apt,575,40.41179,-3.69622
1160005,Entire home/apt,58,40.41018,-3.69925
1161437,Private room,48,40.43907,-3.70305
1162707,Private room,32,40.43715,-3.71356
1168731,Entire home/apt,70,40.34993,-3.70594
